country,state,zipcode,tax_region_name,RiskLevel,state_rate,county_rate,city_rate,special_rate,combined_rate,medicinal_excise,adult_excise,has_medical_excise
US,AR,71601,PINE BLUFF,4,6.5,1.25,2.25,0,10,0,0,FALSE
US,AR,71602,PINE BLUFF,2,6.5,1.25,2.25,0,10,0,0,FALSE
US,AR,71603,PINE BLUFF,1,6.5,1.25,2.25,0,10,0,0,FALSE
US,AR,71630,ARKANSAS CITY,1,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71631,BRADLEY COUNTY,3,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71635,ASHLEY COUNTY,2,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71638,DERMOTT,1,6.5,2,2,0,10.5,0,0,FALSE
US,AR,71639,DUMAS,1,6.5,1.5,2.5,0,10.5,0,0,FALSE
US,AR,71640,EUDORA,1,6.5,2,2,0,10.5,0,0,FALSE
US,AR,71642,ASHLEY COUNTY,2,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71643,GOULD,3,6.5,2,3,0,11.5,0,0,FALSE
US,AR,71644,JEFFERSON COUNTY,3,6.5,1.25,0,0,7.75,0,0,FALSE
US,AR,71646,ASHLEY COUNTY,9,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71647,BRADLEY COUNTY,8,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71651,BRADLEY COUNTY,2,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71652,CLEVELAND COUNTY,2,6.5,3.25,0,0,9.75,0,0,FALSE
US,AR,71653,LAKE VILLAGE,1,6.5,2,2,0,10.5,0,0,FALSE
US,AR,71654,MCGEHEE,1,6.5,1.5,3,0,11,0,0,FALSE
US,AR,71655,MONTICELLO,1,6.5,2.25,1,0,9.75,0,0,FALSE
US,AR,71658,ASHLEY COUNTY,4,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71659,JEFFERSON COUNTY,2,6.5,1.25,0,0,7.75,0,0,FALSE
US,AR,71660,CLEVELAND COUNTY,3,6.5,3.25,0,0,9.75,0,0,FALSE
US,AR,71661,ASHLEY COUNTY,2,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71662,DESHA COUNTY,1,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71663,ASHLEY COUNTY,1,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71665,CLEVELAND COUNTY,11,6.5,3.25,0,0,9.75,0,0,FALSE
US,AR,71667,LINCOLN COUNTY,8,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71670,DESHA COUNTY,1,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71671,WARREN,5,6.5,2,1,0,9.5,0,0,FALSE
US,AR,71674,DESHA COUNTY,1,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71675,DREW COUNTY,1,6.5,2.25,0,0,8.75,0,0,FALSE
US,AR,71676,ASHLEY COUNTY,1,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71677,WINCHESTER,1,6.5,2.25,0,0,8.75,0,0,FALSE
US,AR,71678,LINCOLN COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71701,CAMDEN,1,6.5,3,1.75,0,11.25,0,0,FALSE
US,AR,71720,OUACHITA COUNTY,1,6.5,3,0,0,9.5,0,0,FALSE
US,AR,71721,CLARK COUNTY,1,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71722,BLUFF CITY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71724,CALION,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71725,DALLAS COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71726,OUACHITA COUNTY,1,6.5,3,0,0,9.5,0,0,FALSE
US,AR,71728,CLARK COUNTY,1,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71730,EL DORADO,1,6.5,2,1.25,0,9.75,0,0,FALSE
US,AR,71731,EL DORADO,1,6.5,2,1.25,0,9.75,0,0,FALSE
US,AR,71740,COLUMBIA COUNTY,1,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71742,FORDYCE,1,6.5,2,1.5,0,10,0,0,FALSE
US,AR,71743,GURDON,1,6.5,1.5,1.5,0,9.5,0,0,FALSE
US,AR,71744,CALHOUN COUNTY,1,6.5,2.5,0,0,9,0,0,FALSE
US,AR,71745,HARRELL,1,6.5,2.5,0,0,9,0,0,FALSE
US,AR,71747,UNION COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71748,DALLAS COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71749,UNION COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71750,UNION COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71751,OUACHITA COUNTY,1,6.5,3,0,0,9.5,0,0,FALSE
US,AR,71752,COLUMBIA COUNTY,1,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71753,MAGNOLIA,1,6.5,1.5,2.375,0,10.375,0,0,FALSE
US,AR,71754,MAGNOLIA,1,6.5,1.5,2.375,0,10.375,0,0,FALSE
US,AR,71758,UNION COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71759,NORPHLET,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71762,SMACKOVER,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71763,DALLAS COUNTY,2,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71764,OUACHITA COUNTY,1,6.5,3,0,0,9.5,0,0,FALSE
US,AR,71765,UNION COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71766,THORNTON,1,6.5,2.5,1,0,10,0,0,FALSE
US,AR,71770,COLUMBIA COUNTY,1,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71772,WHELEN SPRINGS,1,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71801,HOPE,1,6.5,2,1,0,9.5,0,0,FALSE
US,AR,71820,LITTLE RIVER COUNTY,1,6.5,2.25,0,0,8.75,0,0,FALSE
US,AR,71822,ASHDOWN,1,6.5,2.25,2,0,10.75,0,0,FALSE
US,AR,71823,BEN LOMOND,1,6.5,2.125,0,0,8.625,0,0,FALSE
US,AR,71825,HEMPSTEAD COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71826,LAFAYETTE COUNTY,1,6.5,2.25,0,0,8.75,0,0,FALSE
US,AR,71827,LAFAYETTE COUNTY,1,6.5,2.25,0,0,8.75,0,0,FALSE
US,AR,71828,CALE,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71831,HEMPSTEAD COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71832,DE QUEEN,1,6.5,2.125,1,0,9.625,0,0,FALSE
US,AR,71833,HOWARD COUNTY,1,6.5,2.75,0,0,9.25,0,0,FALSE
US,AR,71834,MILLER COUNTY,1,6.5,1.25,0,0,7.75,0,0,FALSE
US,AR,71835,NEVADA COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71836,LITTLE RIVER COUNTY,1,6.5,2.25,0,0,8.75,0,0,FALSE
US,AR,71837,MILLER COUNTY,1,6.5,1.25,0,0,7.75,0,0,FALSE
US,AR,71838,HEMPSTEAD COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71839,GARLAND (CITY),1,6.5,1.25,1,0,8.75,0,0,FALSE
US,AR,71840,MILLER COUNTY,1,6.5,1.25,0,0,7.75,0,0,FALSE
US,AR,71841,SEVIER COUNTY,1,6.5,2.125,0,0,8.625,0,0,FALSE
US,AR,71842,SEVIER COUNTY,1,6.5,2.125,0,0,8.625,0,0,FALSE
US,AR,71845,LEWISVILLE,1,6.5,2.25,1,0,9.75,0,0,FALSE
US,AR,71846,SEVIER COUNTY,1,6.5,2.125,0,0,8.625,0,0,FALSE
US,AR,71847,HEMPSTEAD COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71851,HOWARD COUNTY,1,6.5,2.75,0,0,9.25,0,0,FALSE
US,AR,71852,NASHVILLE,1,6.5,2.75,1,0,10.25,0,0,FALSE
US,AR,71853,LITTLE RIVER COUNTY,1,6.5,2.25,0,0,8.75,0,0,FALSE
US,AR,71854,TEXARKANA,1,6.5,1.25,2.5,0,10.25,0,0,FALSE
US,AR,71855,HEMPSTEAD COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71857,PRESCOTT,3,6.5,2,1,0,9.5,0,0,FALSE
US,AR,71858,NEVADA COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71859,HEMPSTEAD COUNTY,2,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71860,STAMPS,1,6.5,2.25,1,0,9.75,0,0,FALSE
US,AR,71861,COLUMBIA COUNTY,1,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71862,HEMPSTEAD COUNTY,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71864,WILLISVILLE,1,6.5,2,0,0,8.5,0,0,FALSE
US,AR,71865,WILTON,1,6.5,2.25,1,0,9.75,0,0,FALSE
US,AR,71866,LITTLE RIVER COUNTY,1,6.5,2.25,0,0,8.75,0,0,FALSE
US,AR,71901,HOT SPRINGS (CITY),15,6.5,1.5,1.5,0,9.5,0,0,FALSE
US,AR,71902,HOT SPRINGS (CITY),2,6.5,1.5,1.5,0,9.5,0,0,FALSE
US,AR,71903,HOT SPRINGS (CITY),2,6.5,1.5,1.5,0,9.5,0,0,FALSE
US,AR,71909,GARLAND COUNTY,3,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71910,GARLAND COUNTY,3,6.5,1.5,0,0,8,0,0,FALSE
US,AR,71913,HOT SPRINGS (CITY),3,6.5,1.5,1.5,0,9.5,0,0,FALSE
US,AR,71914,HOT SPRINGS (CITY),2,6.5,1.5,1.5,0,9.5,0,0,FALSE
